SubjectID,AssignmentID,SessionID,SessionStartTime,SessionEndTime,SessionTotalTime,NumberEvents,NumberEventsBeforeRun,NumberEventsAfterRun,AvgEventDiffTime,NumRuns,AvgTimeBetweenRuns
Student11,Assign6,0,1634409245710,1634409321842,76132,9,8,1,8.459111111111111,1,76.13
Student11,Assign6,1,1634412465424,1634412465424,0,1,1,0,,0,
Student11,Assign6,2,1634433285074,1634434150693,865619,179,28,151,4.86302808988764,9,95.01333333333334
Student11,Assign6,3,1634434510078,1634434866444,356366,175,88,87,2.048080459770115,2,64.2035
Student11,Assign6,4,1634440773302,1634440784155,10853,2,1,1,10.853,1,0.0
Student11,Assign6,5,1634441627173,1634443529406,1902233,10251,275,9976,0.1855837073170732,8,230.941125
Student11,Assign6,6,1634484678117,1634484684966,6849,3,3,0,3.4245,0,
Student11,Assign6,7,1634485041655,1634485041656,1,2,2,0,0.001,0,
Student11,Assign6,8,1634512777788,1634513684301,906513,584,55,529,1.5549108061749575,5,124.8214
Student11,Assign6,9,1634514378510,1634516386286,2007776,1245,163,1082,1.613967845659164,13,144.96646153846154
Student11,Assign6,10,1634517876718,1634517950653,73935,6,1,5,14.787,2,6.39
Student11,Assign6,11,1634518773384,1634519128297,354913,5,1,4,88.72825,1,0.0
Student11,Assign6,12,1634519488002,1634520107963,619961,356,1,355,1.7463690140845072,6,94.93016666666665
Student11,Assign6,13,1634520453505,1634520476184,22679,66,66,0,0.34890769230769236,0,
Student11,Assign6,14,1643409578318,1643409846559,268241,2530,2530,0,0.1060660340055358,0,
Student23,Assign6,0,1634237662089,1634237832599,170510,117,116,1,1.4573504273504272,1,170.504
Student23,Assign6,1,1634238235296,1634239011136,775840,462,370,92,1.6829501084598697,5,129.3634
Student23,Assign6,2,1634315079226,1634315414965,335739,73,73,0,4.6630416666666665,0,
Student23,Assign6,3,1634316515357,1634316535950,20593,22,22,0,0.9806190476190476,0,
Student23,Assign6,4,1634317487415,1634323813532,6326117,4143,203,3940,1.5273097537421536,101,62.63482178217821
Student23,Assign6,5,1634365692123,1634365692123,0,1,1,0,,0,
Student23,Assign6,6,1634410007794,1634410070134,62340,20,20,0,3.2810526315789477,0,
Student23,Assign6,7,1634411519013,1634411576665,57652,28,1,27,2.1352592592592594,2,22.962
Student23,Assign6,8,1634412071648,1634412226212,154564,49,1,48,3.220083333333333,2,77.282
Student23,Assign6,9,1634412645195,1634415938628,3293433,1105,5,1100,2.9831820652173913,26,126.67042307692307
Student23,Assign6,10,1634416315604,1634416722252,406648,126,50,76,3.253184,2,55.6095
Student23,Assign6,11,1634417820655,1634420311288,2490633,1812,314,1498,1.3752805080066264,33,73.53933333333333
