,SubjectID,AssignmentID,MID_Score,AssignmentScore,FinalScore,Incremental
0,Student11,Assign6,3.2135627530364377,70.0,89.58,0
1,Student23,Assign7,2.304082428292955,100.0,90.98,1
2,Student23,Assign8,1.713384021240647,100.0,90.98,1
3,Student23,Assign9,2.6706273764258555,98.0,90.98,0
4,Student23,Assign11,1.8540471637985978,91.0,90.98,1
5,Student23,Assign12,1.8707115628970779,94.0,90.98,1
6,Student21,Assign7,0.8018583655762693,96.0,90.79,1
7,Student21,Assign8,2.758611877747112,98.0,90.79,0
8,Student21,Assign9,0.2686170212765957,95.0,90.79,1
9,Student21,Assign12,0.9914180871212122,97.0,90.79,1
10,Student21,Assign13,4.416666666666666,56.0,90.79,0
11,Student17,Assign6,0.5,89.0,96.95,1
12,Student17,Assign7,1.1979587258860476,96.0,96.95,1
13,Student17,Assign8,2.9749799196787143,100.0,96.95,0
14,Student7,Assign8,1.0098566308243726,99.5,100.52,1
15,Student7,Assign9,2.2216367713004486,97.0,100.52,1
16,Student7,Assign10,0.5,100.0,100.52,1
17,Student7,Assign11,0.49376299376299376,95.0,100.52,1
18,Student7,Assign12,0.47725512969415407,98.0,100.52,1
19,Student29,Assign6,1.8459010473094979,100.0,100.6,1
20,Student29,Assign8,4.524877612937146,100.0,100.6,0
21,Student29,Assign10,0.5,94.0,100.6,1
22,Student29,Assign11,0.5,100.0,100.6,1
23,Student29,Assign12,0.8114261168384878,100.0,100.6,1
24,Student30,Assign8,1.9928443649373881,98.0,96.99,1
25,Student30,Assign11,1.6136034732272069,92.0,96.99,1
26,Student30,Assign12,2.001301020408164,97.0,96.99,1
27,Student10,Assign8,0.7515723270440251,100.0,97.6,1
28,Student10,Assign9,2.315619461897857,85.0,97.6,1
29,Student10,Assign10,0.13681783243658724,88.0,97.6,1
30,Student10,Assign11,0.5986928104575163,94.0,97.6,1
31,Student10,Assign12,3.0650208616780046,100.0,97.6,0
32,Student24,Assign8,0.13432122370936903,99.0,91.05,1
33,Student24,Assign9,5.423364717542121,87.0,91.05,0
34,Student24,Assign10,0.5,97.0,91.05,1
35,Student24,Assign11,3.2968021680216806,92.0,91.05,0
36,Student24,Assign13,3.637033462033462,78.0,91.05,0
37,Student15,Assign7,1.8320395857585943,86.0,96.88,1
38,Student15,Assign8,0.5389141989369779,100.0,96.88,1
39,Student15,Assign9,3.200917158409954,92.0,96.88,0
40,Student41,Assign6,4.661060383131512,3.0,82.33,0
41,Student42,Assign7,0.3814814814814815,8.0,79.88,1
42,Student42,Assign8,0.3606737588652482,92.0,79.88,1
43,Student42,Assign9,3.4736316465714245,89.0,79.88,0
44,Student42,Assign10,3.6953279137065778,79.0,79.88,0
45,Student42,Assign11,3.0172118330013076,100.0,79.88,0
46,Student42,Assign12,4.100033952975129,100.0,79.88,0
47,Student42,Assign13,3.664804973937627,94.0,79.88,0
48,Student39,Assign8,2.0321215813701596,98.0,90.15,1
49,Student39,Assign9,3.689017798618463,95.0,90.15,0
50,Student39,Assign11,1.4716442953020135,89.0,90.15,1
51,Student39,Assign12,0.6784206263033624,97.0,90.15,1
52,Student39,Assign13,8.147327938174394,75.0,90.15,0
53,Student36,Assign8,2.177017321504013,99.0,90.11,1
54,Student36,Assign10,0.5,95.0,90.11,1
55,Student36,Assign11,0.644554753309266,64.0,90.11,1
56,Student36,Assign12,1.3320848938826466,21.0,90.11,1
57,Student22,Assign6,5.923731374137269,93.0,82.57,0
58,Student22,Assign7,1.1669670558041783,100.0,82.57,1
59,Student22,Assign8,3.1642399163075847,99.0,82.57,0
60,Student22,Assign9,1.4531810035842294,98.0,82.57,1
61,Student22,Assign10,0.5,91.0,82.57,1
62,Student22,Assign11,3.4637408925318756,68.0,82.57,0
63,Student22,Assign12,0.5353369763205829,21.0,82.57,1
64,Student40,Assign10,0.5,100.0,97.4,1
65,Student40,Assign11,1.509047619047619,100.0,97.4,1
66,Student40,Assign12,3.1623382747225337,100.0,97.4,0
67,Student6,Assign6,0.0,25.0,84.1,1
68,Student6,Assign8,0.8351648351648353,84.0,84.1,1
69,Student6,Assign9,1.0950366610265085,71.0,84.1,1
70,Student6,Assign10,0.18125960061443933,96.0,84.1,1
71,Student6,Assign11,0.26919385796545103,100.0,84.1,1
72,Student6,Assign12,0.4177966101694915,26.0,84.1,1
73,Student6,Assign13,0.15517241379310345,9.0,84.1,1
74,Student33,Assign7,4.172265089163237,100.0,98.79,0
75,Student33,Assign8,0.5,100.0,98.79,1
76,Student33,Assign9,2.073158179848321,100.0,98.79,1
77,Student33,Assign11,1.0750469043151971,100.0,98.79,1
78,Student1,Assign6,2.190721040189125,99.0,97.7,1
79,Student1,Assign7,0.5536,99.0,97.7,1
80,Student1,Assign8,0.0,100.0,97.7,1
81,Student1,Assign9,2.703071672354949,100.0,97.7,0
82,Student1,Assign10,0.5,98.0,97.7,1
