,SubjectID,AssignmentID,ClientTimestamp,DateTime,NextDateTime,Diff,DaysDiff,HoursDiff,MinutesDiff,SecondsDiff
0,Student11,Assign6,1634433361464,2021-10-17 01:16:01.464,2021-10-17 01:16:17.097,0 days 00:00:15.633000,0.0,0.0,0.25,15.0
1,Student11,Assign6,1634433377097,2021-10-17 01:16:17.097,2021-10-17 01:17:20.986,0 days 00:01:03.889000,0.0,0.02,1.05,63.0
2,Student11,Assign6,1634433440986,2021-10-17 01:17:20.986,2021-10-17 01:18:52.760,0 days 00:01:31.774000,0.0,0.03,1.52,91.0
3,Student11,Assign6,1634433532760,2021-10-17 01:18:52.760,2021-10-17 01:20:08.265,0 days 00:01:15.505000,0.0,0.02,1.25,75.0
4,Student11,Assign6,1634433608265,2021-10-17 01:20:08.265,2021-10-17 01:21:29.742,0 days 00:01:21.477000,0.0,0.02,1.35,81.0
5,Student11,Assign6,1634433689742,2021-10-17 01:21:29.742,2021-10-17 01:21:42.998,0 days 00:00:13.256000,0.0,0.0,0.22,13.0
6,Student11,Assign6,1634433702998,2021-10-17 01:21:42.998,2021-10-17 01:24:00.771,0 days 00:02:17.773000,0.0,0.04,2.28,137.0
7,Student11,Assign6,1634433840771,2021-10-17 01:24:00.771,2021-10-17 01:29:00.194,0 days 00:04:59.423000,0.0,0.08,4.98,299.0
8,Student11,Assign6,1634434140194,2021-10-17 01:29:00.194,2021-10-17 01:36:04.192,0 days 00:07:03.998000,0.0,0.12,7.05,423.0
9,Student11,Assign6,1634434564192,2021-10-17 01:36:04.192,2021-10-17 01:37:18.485,0 days 00:01:14.293000,0.0,0.02,1.23,74.0
10,Student11,Assign6,1634434638485,2021-10-17 01:37:18.485,2021-10-17 03:19:33.302,0 days 01:42:14.817000,0.0,1.7,102.23,6134.0
11,Student11,Assign6,1634440773302,2021-10-17 03:19:33.302,2021-10-17 03:34:14.025,0 days 00:14:40.723000,0.0,0.24,14.67,880.0
12,Student11,Assign6,1634441654025,2021-10-17 03:34:14.025,2021-10-17 03:52:36.855,0 days 00:18:22.830000,0.0,0.31,18.37,1102.0
13,Student11,Assign6,1634442756855,2021-10-17 03:52:36.855,2021-10-17 03:56:46.379,0 days 00:04:09.524000,0.0,0.07,4.15,249.0
14,Student11,Assign6,1634443006379,2021-10-17 03:56:46.379,2021-10-17 03:58:22.748,0 days 00:01:36.369000,0.0,0.03,1.6,96.0
15,Student11,Assign6,1634443102748,2021-10-17 03:58:22.748,2021-10-17 03:59:37.115,0 days 00:01:14.367000,0.0,0.02,1.23,74.0
16,Student11,Assign6,1634443177115,2021-10-17 03:59:37.115,2021-10-17 04:00:41.435,0 days 00:01:04.320000,0.0,0.02,1.07,64.0
17,Student11,Assign6,1634443241435,2021-10-17 04:00:41.435,2021-10-17 04:02:18.774,0 days 00:01:37.339000,0.0,0.03,1.62,97.0
18,Student11,Assign6,1634443338774,2021-10-17 04:02:18.774,2021-10-17 04:04:34.702,0 days 00:02:15.928000,0.0,0.04,2.25,135.0
19,Student11,Assign6,1634443474702,2021-10-17 04:04:34.702,2021-10-18 00:44:49.498,0 days 20:40:14.796000,0.0,20.67,1240.23,74414.0
20,Student11,Assign6,1634517889498,2021-10-18 00:44:49.498,2021-10-18 00:59:33.384,0 days 00:14:43.886000,0.0,0.25,14.72,883.0
21,Student11,Assign6,1634518773384,2021-10-18 00:59:33.384,2021-10-18 01:11:28.002,0 days 00:11:54.618000,0.0,0.2,11.9,714.0
22,Student11,Assign6,1634519488002,2021-10-18 01:11:28.002,2021-10-17 23:23:04.192,-1 days +22:11:36.190000,-1.0,22.19,1331.6,79896.0
23,Student11,Assign6,1634512984192,2021-10-17 23:23:04.192,2021-10-17 23:25:11.241,0 days 00:02:07.049000,0.0,0.04,2.12,127.0
24,Student11,Assign6,1634513111241,2021-10-17 23:25:11.241,2021-10-17 23:28:25.536,0 days 00:03:14.295000,0.0,0.05,3.23,194.0
25,Student11,Assign6,1634513305536,2021-10-17 23:28:25.536,2021-10-17 23:28:45.703,0 days 00:00:20.167000,0.0,0.01,0.33,20.0
26,Student11,Assign6,1634513325703,2021-10-17 23:28:45.703,2021-10-17 23:30:01.895,0 days 00:01:16.192000,0.0,0.02,1.27,76.0
27,Student11,Assign6,1634513401895,2021-10-17 23:30:01.895,2021-10-17 23:48:23.654,0 days 00:18:21.759000,0.0,0.31,18.35,1101.0
28,Student11,Assign6,1634514503654,2021-10-17 23:48:23.654,2021-10-17 23:56:35.147,0 days 00:08:11.493000,0.0,0.14,8.18,491.0
29,Student11,Assign6,1634514995147,2021-10-17 23:56:35.147,2021-10-17 23:57:22.692,0 days 00:00:47.545000,0.0,0.01,0.78,47.0
30,Student11,Assign6,1634515042692,2021-10-17 23:57:22.692,2021-10-17 23:58:14.975,0 days 00:00:52.283000,0.0,0.01,0.87,52.0
31,Student11,Assign6,1634515094975,2021-10-17 23:58:14.975,2021-10-18 00:01:26.683,0 days 00:03:11.708000,0.0,0.05,3.18,191.0
32,Student11,Assign6,1634515286683,2021-10-18 00:01:26.683,2021-10-18 00:02:19.381,0 days 00:00:52.698000,0.0,0.01,0.87,52.0
33,Student11,Assign6,1634515339381,2021-10-18 00:02:19.381,2021-10-18 00:05:55.044,0 days 00:03:35.663000,0.0,0.06,3.58,215.0
34,Student11,Assign6,1634515555044,2021-10-18 00:05:55.044,2021-10-18 00:07:43.802,0 days 00:01:48.758000,0.0,0.03,1.8,108.0
35,Student11,Assign6,1634515663802,2021-10-18 00:07:43.802,2021-10-18 00:08:17.327,0 days 00:00:33.525000,0.0,0.01,0.55,33.0
36,Student11,Assign6,1634515697327,2021-10-18 00:08:17.327,2021-10-18 00:09:16.640,0 days 00:00:59.313000,0.0,0.02,0.98,59.0
37,Student11,Assign6,1634515756640,2021-10-18 00:09:16.640,2021-10-18 00:09:46.211,0 days 00:00:29.571000,0.0,0.01,0.48,29.0
38,Student11,Assign6,1634515786211,2021-10-18 00:09:46.211,2021-10-18 00:17:28.736,0 days 00:07:42.525000,0.0,0.13,7.7,462.0
39,Student11,Assign6,1634516248736,2021-10-18 00:17:28.736,2021-10-18 00:17:43.074,0 days 00:00:14.338000,0.0,0.0,0.23,14.0
40,Student11,Assign6,1634516263074,2021-10-18 00:17:43.074,2021-10-18 00:44:36.718,0 days 00:26:53.644000,0.0,0.45,26.88,1613.0
41,Student11,Assign6,1634517876718,2021-10-18 00:44:36.718,2021-10-18 01:12:03.459,0 days 00:27:26.741000,0.0,0.46,27.43,1646.0
42,Student11,Assign6,1634519523459,2021-10-18 01:12:03.459,2021-10-18 01:12:37.741,0 days 00:00:34.282000,0.0,0.01,0.57,34.0
43,Student11,Assign6,1634519557741,2021-10-18 01:12:37.741,2021-10-18 01:15:52.120,0 days 00:03:14.379000,0.0,0.05,3.23,194.0
44,Student11,Assign6,1634519752120,2021-10-18 01:15:52.120,2021-10-18 01:20:37.303,0 days 00:04:45.183000,0.0,0.08,4.75,285.0
45,Student11,Assign6,1634520037303,2021-10-18 01:20:37.303,2021-10-18 01:20:57.583,0 days 00:00:20.280000,0.0,0.01,0.33,20.0
46,Student11,Assign6,1634520057583,2021-10-18 01:20:57.583,2021-10-16 18:35:21.840,-2 days +17:14:24.257000,-2.0,17.24,1034.4,62064.0
47,Student11,Assign6,1634409321840,2021-10-16 18:35:21.840,,,,,,
